329, 9331, 4.99, 664, 3.83, 243, 3.69, 2164, 3.63, 5503, 3.51
197, 2024, 5.04, 9331, 3.75, 1900, 3.66, 581, 3.53, 786, 3.44
1894, 11, 7.21, 1892, 6.27, 1891, 5.91, 2164, 4.28, 243, 4.28
